Szene;Qualität;Gruppe;Proband;Altersgruppe;Alter;km/y;Verkehrsaufkommen;Tag;VT;VS;SA Level 3;SA gesamt;Speed;Spur;Rate
SA3;H;HMD;26;U35;24;3000;1;1;1,00;0,00;1,000;0,667;-3;zu weit links;8
SA3;N;M Sphere;27;U22;19;3000;1;3;1,00;0,00;1,000;0,667;17;zu weit links;4
SA3;N;HMD;28;U35;24;3000;1;4;1,00;0,00;1,000;0,667;-3;zu weit links;8
SA3;N;M Sphere;29;U35;22;3000;1;2;1,00;0,00;1,000;0,667;2;zu weit links;8
SA3;H;M Sphere;30;U22;21;15000;1;1;1,00;1,00;1,000;1,000;17;zu weit links;8
SA4;N;HMD;1;U35;23;15000;3;1;0,50;0,00;0,000;0,167;0;zu weit links;5
SA4;N;HMD;2;U22;19;3000;3;4;0,25;0,00;1,000;0,417;0;zu weit links;5
SA4;H;M Sphere;3;U22;18;8000;3;4;0,25;1,00;0,000;0,417;0;zu weit links;5
SA4;N;M Flat;4;U35;23;3000;3;1;0,50;1,00;0,000;0,500;0;Korrekt;7
SA4;N;M Flat;5;U22;19;8000;3;4;0,25;0,00;0,000;0,083;0;zu weit links;7
SA4;H;M Flat;6;U35;32;3000;3;4;0,25;1,00;0,000;0,417;0;Korrekt;4
SA4;N;HMD;7;U35;22;8000;3;1;0,75;0,00;1,000;0,583;0;Korrekt;5
SA4;N;M Sphere;8;U35;22;3000;3;1;0,50;1,00;0,000;0,500;0;zu weit links;4
SA4;N;HMD;9;Ü35;53;30000;3;3;0,50;0,00;0,000;0,167;0;zu weit links;7
SA4;N;M Flat;10;Ü35;49;15000;3;1;0,50;1,00;0,000;0,500;0;zu weit links;4
SA4;N;M Sphere;11;Ü35;54;8000;3;4;0,50;0,00;0,000;0,167;0;zu weit links;8
SA4;N;M Flat;12;U35;22;8000;3;3;0,75;0,00;0,000;0,250;0;zu weit links;7
SA4;H;M Sphere;13;U22;20;8000;3;4;0,50;0,00;0,000;0,167;0;zu weit links;7
